Date,CFM_1,CFM_2,CFM_3,CFM_4,O2_1,O2_2,O2_3,O2_4,STATICPR_1,STATICPR_2,STATICPR_3,STATICPR_4
02:16:14 03-09-2025,0,269,0,0,0,11.0196323394775,0,0,0,7.41116428375244,0,0
02:16:44 03-09-2025,0,383,0,0,0,10.989107131958,0,0,0,7.42489814758301,0,0
02:17:14 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:17:44 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:18:14 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:18:44 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:19:14 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:19:44 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:20:14 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:20:44 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:21:14 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:21:44 03-09-2025,0,0,0,0,0,0,0,0,0,0,0,0
02:22:14 03-09-2025,488,0,0,0,18.8569774627686,0,0,0,2.76678276062012,0,0,0
02:22:45 03-09-2025,271,0,0,0,5.63956546783447,0,0,0,2.87436580657959,0,0,0
02:23:15 03-09-2025,276,0,0,0,3.16702461242676,0,0,0,2.82629680633545,0,0,0
02:23:45 03-09-2025,283,0,0,0,2.97624206542969,0,0,0,2.7896728515625,0,0,0
02:24:15 03-09-2025,285,0,0,0,3.06781768798828,0,0,0,2.79882907867432,0,0,0
02:24:45 03-09-2025,281,0,0,0,3.39596366882324,0,0,0,2.70955801010132,0,0,0
02:25:15 03-09-2025,281,0,0,0,3.7622652053833,0,0,0,2.73015880584717,0,0,0
02:25:45 03-09-2025,285,0,0,0,4.23540592193604,0,0,0,2.7324481010437,0,0,0
02:26:15 03-09-2025,279,0,0,0,4.693284034729,0,0,0,2.75304889678955,0,0,0
02:26:45 03-09-2025,276,0,0,0,5.25800037384033,0,0,0,2.7324481010437,0,0,0
02:27:15 03-09-2025,287,0,0,0,5.73114109039307,0,0,0,2.72100305557251,0,0,0
02:27:45 03-09-2025,277,0,0,0,6.2500696182251,0,0,0,2.7324481010437,0,0,0
02:28:15 03-09-2025,282,0,0,0,6.67742252349854,0,0,0,2.76678276062012,0,0,0
02:28:45 03-09-2025,288,0,0,0,6.98267459869385,0,0,0,2.69811296463013,0,0,0
02:29:15 03-09-2025,285,0,0,0,7.29555797576904,0,0,0,2.76220512390137,0,0,0
02:29:45 03-09-2025,288,0,0,0,7.57791519165039,0,0,0,2.69353485107422,0,0,0
02:30:15 03-09-2025,277,0,0,0,7.82974815368652,0,0,0,2.73015880584717,0,0,0
02:30:45 03-09-2025,280,0,0,0,8.04342460632324,0,0,0,2.74160385131836,0,0,0
02:31:15 03-09-2025,281,0,0,0,8.21131324768066,0,0,0,2.76678276062012,0,0,0
02:31:45 03-09-2025,284,0,0,0,8.38683319091797,0,0,0,2.74618196487427,0,0,0
02:32:15 03-09-2025,279,0,0,0,8.53945922851563,0,0,0,2.76678276062012,0,0,0
02:32:45 03-09-2025,290,0,0,0,8.6844539642334,0,0,0,2.74160385131836,0,0,0
02:33:15 03-09-2025,282,0,0,0,8.79129219055176,0,0,0,2.75991582870483,0,0,0
02:33:45 03-09-2025,271,0,0,0,8.91339302062988,0,0,0,2.75076007843018,0,0,0
02:34:15 03-09-2025,286,0,0,0,9.00496864318848,0,0,0,2.72329187393188,0,0,0
02:34:45 03-09-2025,288,0,0,0,9.09654426574707,0,0,0,2.74847078323364,0,0,0
02:35:15 03-09-2025,282,0,0,0,9.18811988830566,0,0,0,2.68895673751831,0,0,0
02:35:45 03-09-2025,286,0,0,0,9.27206420898438,0,0,0,2.71413612365723,0,0,0
02:36:15 03-09-2025,286,0,0,0,9.35600852966309,0,0,0,2.75076007843018,0,0,0
02:36:45 03-09-2025,288,0,0,0,9.41705894470215,0,0,0,2.75304889678955,0,0,0
02:37:15 03-09-2025,0,0,0,446,0,0,0,9.57731628417969,0,0,0,5.26179313659668
